date,convocados_ALL,mm5_ALL,mm10_ALL,convocados_Pesquisador,mm5_Pesquisador,mm10_Pesquisador,convocados_Analista,mm5_Analista,mm10_Analista,convocados_Tecnico,mm5_Tecnico,mm10_Tecnico,convocados_Assistente,mm5_Assistente,mm10_Assistente
2026-02-19,9,5,6,0,0,0,7,4,4,1,0,1,1,0,0
2026-02-20,3,3,5,0,0,0,3,2,4,0,0,0,0,0,0
2026-02-21,6,5,5,0,0,0,3,3,4,2,0,0,1,0,0
2026-02-22,0,5,5,0,0,0,0,3,4,0,0,0,0,0,0
2026-02-23,25,10,7,14,2,1,9,5,4,2,1,0,0,0,0
2026-02-24,14,11,8,7,4,2,5,5,4,2,1,0,0,0,0
2026-02-25,5,10,7,0,4,2,4,4,4,1,1,0,0,0,0
2026-02-26,10,12,7,5,5,2,3,4,3,1,1,1,1,0,0
2026-02-27,5,11,8,0,5,2,3,4,4,2,1,1,0,0,0
2026-02-28,0,6,8,0,2,2,0,3,4,0,1,1,0,0,0
2026-03-01,0,6,8,0,2,2,0,3,4,0,1,1,0,0,0
2026-03-02,2,4,7,1,1,2,1,2,3,0,0,1,0,0,0
2026-03-03,17,6,8,8,2,3,9,3,4,0,0,1,0,0,0
2026-03-04,1,5,8,0,1,3,1,2,3,0,0,1,0,0,0
2026-03-05,0,4,7,0,1,3,0,2,3,0,0,0,0,0,0
